Source,Type,Target,Weight
Iron Man ,Undirected,Pepper Potts,7
Iron Man ,Undirected,Vision ,7
Iron Man ,Undirected,Black Widow ,6
Iron Man ,Undirected,War Machine ,6
Captain America ,Undirected,Black Widow ,6
Iron Man ,Undirected,Nick Fury,5
Nick Fury,Undirected,Vision ,5
Nick Fury,Undirected,Black Widow ,5
Vision ,Undirected,Black Widow ,5
Vision ,Undirected,Pepper Potts,5
Vision ,Undirected,War Machine ,5
Black Widow ,Undirected,War Machine ,5
Iron Man ,Undirected,Captain America ,5
Iron Man ,Undirected,The Hulk ,5
Thor,Undirected,The Hulk ,5
Thor,Undirected,Heimdall,5
Thor,Undirected,Loki,5
Nick Fury,Undirected,Captain America ,5
Iron Man ,Undirected,Happy Hogan,4
Iron Man ,Undirected,Spider-Man ,4
Pepper Potts,Undirected,Happy Hogan,4
Nick Fury,Undirected,Pepper Potts,4
Black Widow ,Undirected,Pepper Potts,4
Pepper Potts,Undirected,War Machine ,4
Rocket Raccoon,Undirected,Nebula,4
Iron Man ,Undirected,Hawkeye ,4
Vision ,Undirected,Captain America ,4
Captain America ,Undirected,War Machine ,4
Captain America ,Undirected,The Winter Soldier ,4
Captain America ,Undirected,Falcon ,4
Captain America ,Undirected,Hawkeye ,4
Black Widow ,Undirected,Falcon ,4
Black Widow ,Undirected,Hawkeye ,4
Iron Man ,Undirected,Thor,4
Captain America ,Undirected,Thor,4
Captain America ,Undirected,The Hulk ,4
Thor,Undirected,Black Widow ,4
Thor,Undirected,Hawkeye ,4
Black Widow ,Undirected,The Hulk ,4
Pepper Potts,Undirected,The Hulk ,4
War Machine ,Undirected,The Hulk ,4
Heimdall,Undirected,Loki,4
Nick Fury,Undirected,Thor,4
Nick Fury,Undirected,Agent Maria Hill,4
Vision ,Undirected,The Hulk ,4
Captain America ,Undirected,Agent Maria Hill,4
Thor,Undirected,Dr. Erik Selvig,4
Black Widow ,Undirected,Agent Maria Hill,4
Pepper Potts,Undirected,Spider-Man ,3
Spider-Man ,Undirected,Ned,3
Spider-Man ,Undirected,Aunt May,3
Nick Fury,Undirected,War Machine ,3
Vision ,Undirected,Happy Hogan,3
Drax the Destroyer,Undirected,Rocket Raccoon,3
Drax the Destroyer,Undirected,Groot,3
Drax the Destroyer,Undirected,Nebula,3
Drax the Destroyer,Undirected,Kraglin ,3
Drax the Destroyer,Undirected,Star Lord ,3
Drax the Destroyer,Undirected,Gamora,3
Thanos,Undirected,Rocket Raccoon,3
Thanos,Undirected,Nebula,3
Rocket Raccoon,Undirected,Groot,3
Rocket Raccoon,Undirected,Kraglin ,3
Rocket Raccoon,Undirected,Star Lord ,3
Rocket Raccoon,Undirected,Gamora,3
Groot,Undirected,Nebula,3
Groot,Undirected,Kraglin ,3
Groot,Undirected,Star Lord ,3
Groot,Undirected,Gamora,3
Nebula,Undirected,Kraglin ,3
Nebula,Undirected,Star Lord ,3
Nebula,Undirected,Gamora,3
Kraglin ,Undirected,Star Lord ,3
Kraglin ,Undirected,Gamora,3
Star Lord ,Undirected,Gamora,3
Black Panther ,Undirected,Ayo,3
M'Baku,Undirected,Okoye,3
Iron Man ,Undirected,Falcon ,3
Iron Man ,Undirected,Scarlet Witch ,3
Vision ,Undirected,Falcon ,3
Vision ,Undirected,Hawkeye ,3
Vision ,Undirected,Scarlet Witch ,3
Captain America ,Undirected,Spider-Man ,3
Captain America ,Undirected,Scarlet Witch ,3
Black Widow ,Undirected,The Winter Soldier ,3
Black Widow ,Undirected,Spider-Man ,3
Black Widow ,Undirected,Scarlet Witch ,3
War Machine ,Undirected,Falcon ,3
War Machine ,Undirected,Hawkeye ,3
War Machine ,Undirected,Spider-Man ,3
War Machine ,Undirected,Scarlet Witch ,3
The Winter Soldier ,Undirected,Falcon ,3
Falcon ,Undirected,Scarlet Witch ,3
The Winter Soldier ,Undirected,Agent Peggy Carter,3
Iron Man ,Undirected,Thanos,3
Captain America ,Undirected,Pepper Potts,3
Captain America ,Undirected,Thanos,3
Thor,Undirected,Pepper Potts,3
Thor,Undirected,War Machine ,3
Thor,Undirected,Thanos,3
Black Widow ,Undirected,Thanos,3
War Machine ,Undirected,Thanos,3
The Hulk ,Undirected,Hawkeye ,3
The Hulk ,Undirected,Thanos,3
Thor,Undirected,Hogun,3
Thor,Undirected,Odin,3
Thor,Undirected,Volstagg,3
Heimdall,Undirected,The Hulk ,3
Heimdall,Undirected,Hogun,3
Heimdall,Undirected,Odin,3
Heimdall,Undirected,Volstagg,3
Loki,Undirected,The Hulk ,3
Loki,Undirected,Hogun,3
Loki,Undirected,Odin,3
Loki,Undirected,Volstagg,3
Hogun,Undirected,Odin,3
Hogun,Undirected,Volstagg,3
Odin,Undirected,Volstagg,3
Iron Man ,Undirected,Agent Maria Hill,3
Nick Fury,Undirected,Loki,3
Nick Fury,Undirected,The Hulk ,3
Nick Fury,Undirected,Dr. Erik Selvig,3
Nick Fury,Undirected,Hawkeye ,3
Vision ,Undirected,Thor,3
Vision ,Undirected,Agent Maria Hill,3
Thor,Undirected,Agent Maria Hill,3
Loki,Undirected,Dr. Erik Selvig,3
The Hulk ,Undirected,Agent Maria Hill,3
Dr. Erik Selvig,Undirected,Hawkeye ,3
Nick Fury,Undirected,Heimdall,3
Nick Fury,Undirected,The Winter Soldier ,3
Nick Fury,Undirected,Falcon ,3
Falcon ,Undirected,Agent Maria Hill,3
Heimdall,Undirected,Dr. Erik Selvig,3
Nick Fury,Undirected,Agent Peggy Carter,3
Captain America ,Undirected,Agent Peggy Carter,3
Iron Man ,Undirected,Ned,2
Iron Man ,Undirected,Aunt May,2
Pepper Potts,Undirected,Ned,2
Ned,Undirected,Aunt May,2
Iron Man ,Undirected,Howard Stark,2
Iron Man ,Undirected,Christine Everhart,2
Nick Fury,Undirected,Happy Hogan,2
Nick Fury,Undirected,Christine Everhart,2
Nick Fury,Undirected,Senator Stern,2
Vision ,Undirected,Howard Stark,2
Vision ,Undirected,Christine Everhart,2
Black Widow ,Undirected,Howard Stark,2
Black Widow ,Undirected,Senator Stern,2
Pepper Potts,Undirected,Christine Everhart,2
War Machine ,Undirected,Happy Hogan,2
War Machine ,Undirected,Howard Stark,2
Happy Hogan,Undirected,Christine Everhart,2
Drax the Destroyer,Undirected,Thanos,2
Drax the Destroyer,Undirected,The Collector,2
Drax the Destroyer,Undirected,Yondu Udonta,2
Thanos,Undirected,Groot,2
Thanos,Undirected,Kraglin ,2
Thanos,Undirected,Star Lord ,2
Thanos,Undirected,Gamora,2
Thanos,Undirected,The Collector,2
Rocket Raccoon,Undirected,The Collector,2
Rocket Raccoon,Undirected,Yondu Udonta,2
Groot,Undirected,The Collector,2
Groot,Undirected,Yondu Udonta,2
Nebula,Undirected,The Collector,2
Nebula,Undirected,Yondu Udonta,2
Kraglin ,Undirected,The Collector,2
Kraglin ,Undirected,Yondu Udonta,2
Star Lord ,Undirected,The Collector,2
Star Lord ,Undirected,Yondu Udonta,2
Gamora,Undirected,The Collector,2
Gamora,Undirected,Yondu Udonta,2
Black Panther ,Undirected,M'Baku,2
Black Panther ,Undirected,Everett Ross,2
Black Panther ,Undirected,Okoye,2
Black Panther ,Undirected,King T'Chaka,2
Black Panther ,Undirected,Shuri,2
Ayo,Undirected,M'Baku,2
